"" "GSM647591_W01_06Y4D_HG_U133_Plus2.CEL"	"GSM647592_W02_06Y4C_HG_U133_Plus2.CEL"	"GSM647593_W03_06Y4B_HG_U133_Plus2.CEL"	"GSM647594_W04_06Y4A_HG_U133_Plus2.CEL"	"GSM647595_W05_06Y49_HG_U133_Plus2.CEL"	"GSM647596_W06_06Y48_HG_U133_Plus2.CEL"	"GSM647597_W07_06Y47_HG_U133_Plus2.CEL"	"GSM647598_W08_06Y46_HG_U133_Plus2.CEL"	"GSM647599_W09_06Y45_HG_U133_Plus2.CEL"	"GSM647600_W10_06Y44_HG_U133_Plus2.CEL"	"GSM647601_W11_06Y43_HG_U133_Plus2.CEL"	"GSM647602_W12_06Y42_HG_U133_Plus2.CEL"	"GSM647603_W13_06Y41_HG_U133_Plus2.CEL"	"GSM647604_W14_06Y40_HG_U133_Plus2.CEL"	"GSM647605_W16_06Y3Y_HG_U133_Plus2.CEL"	"GSM647606_W17_06Y4J_HG_U133_Plus2.CEL"	"GSM647607_W19_06Y55_HG_U133_Plus2.CEL"	"GSM647608_W_JUL22_12_06XZ8_HG_U133_Plus_2.CEL"	"GSM647609_W_JUL22_1_06XZK_HG_U133_Plus_2.CEL"	"GSM647610_W_JUL22_2_06XZJ_HG_U133_Plus_2.CEL"	"GSM647611_W_JUL22_3_06XZH_HG_U133_Plus_2.CEL"	"GSM647612_W_JUL22_4_06XZG_HG_U133_Plus_2.CEL"	"GSM647613_W_JUL22_5_06XZF_HG_U133_Plus_2.CEL"	"GSM647614_W_JUL22_6_06XZE_HG_U133_Plus_2.CEL"	"GSM647615_W_JUL22_7_06XZD_HG_U133_Plus_2.CEL"	"GSM647616_W_JUL22_8_06XZC_HG_U133_Plus_2.CEL"	"GSM647617_W_JUL22_9_06XZB_HG_U133_Plus_2.CEL"	"GSM647618_W_JUL7_10_06XVW_HG_U133_Plus_2.CEL"	"GSM647619_W_JUL7_11_06XVV_HG_U133_Plus_2.CEL"	"GSM647620_W_JUL7_12_06XVU_HG_U133_Plus_2.CEL"	"GSM647621_W_JUL7_1_06XW5_HG_U133_Plus_2.CEL"	"GSM647622_W_JUL7_2_06XW4_HG_U133_Plus_2.CEL"	"GSM647623_W_JUL7_3_06XW3_HG_U133_Plus_2.CEL"	"GSM647624_W_JUL7_4_06XW2_HG_U133_Plus_2.CEL"	"GSM647625_W_JUL7_5_06XW1_HG_U133_Plus_2.CEL"	"GSM647626_W_JUL7_6_06XW0_HG_U133_Plus_2.CEL"	"GSM647627_W_JUL7_7_06XVZ_HG_U133_Plus_2.CEL"	"GSM647628_W_JUL7_8_06XVY_HG_U133_Plus_2.CEL"	"GSM647629_W_JUL7_9_06XVX_HG_U133_Plus_2.CEL"	"GSM647551_05_0025.CEL"	"GSM647552_05_0028.CEL"	"GSM647553_06_0008.CEL"	"GSM647554_06_0011.CEL"	"GSM647555_06_0012.CEL"	"GSM647556_06_0013.CEL"	"GSM647557_07_0007.CEL"	"GSM647558_10_0026.CEL"	"GSM647559_10_0038.CEL"	"GSM647560_11_0037.CEL"	"GSM647561_11_0057.CEL"	"GSM647562_11_0070.CEL"	"GSM647563_11_0075.CEL"	"GSM647564_11_0084.CEL"	"GSM647565_11_0086.CEL"	"GSM647566_11_0087.CEL"	"GSM647567_11_0090.CEL"	"GSM647568_11_0096.CEL"	"GSM647569_11_0109_A1.CEL"	"GSM647570_12_0001.CEL"	"GSM647571_13_0004.CEL"	"GSM647572_13_0005.CEL"	"GSM647573_13_0006.CEL"	"GSM647574_14_0004.CEL"	"GSM647575_14_0006.CEL"	"GSM647576_15_0021.CEL"	"GSM647577_15_0023.CEL"	"GSM647578_15_0025.CEL"	"GSM647579_17_0003.CEL"	"GSM647580_18_0004.CEL"	"GSM647581_19_0006.CEL"	"GSM647582_19_0007.CEL"	"GSM647583_19_0008.CEL"	"GSM647584_19_0009.CEL"	"GSM647585_20_0002.CEL"	"GSM647586_20_0006.CEL"	"GSM647587_20_0007.CEL"	"GSM647588_20_002.CEL"	"GSM647589_22_0010.CEL"	"GSM647590_22_0013.CEL"	"GSM647527_01_0087.CEL"	"GSM647528_01_0089.CEL"	"GSM647529_01_0092.CEL"	"GSM647530_01_0093.CEL"	"GSM647531_01_0095.CEL"	"GSM647532_01_0099.CEL"	"GSM647533_01_0109.CEL"	"GSM647534_01_0112.CEL"	"GSM647535_01_0114.CEL"	"GSM647536_01_0115.CEL"	"GSM647537_01_0116.CEL"	"GSM647538_01_0117.CEL"	"GSM647539_01_0129.CEL"	"GSM647540_01_0133.CEL"	"GSM647541_01_0134.CEL"	"GSM647542_01_0138.CEL"	"GSM647543_01_0142.CEL"	"GSM647544_01_0146.CEL"	"GSM647545_03_0003.CEL"	"GSM647546_04_0002.CEL"	"GSM647547_04_0006.CEL"	"GSM647548_05_0019.CEL"	"GSM647549_05_0020.CEL"	"GSM647550_05_0023.CEL"
"LOC101927282"	3.0795	3.3359	3.2675	2.8652	3.0063	3.1209	3.026	3.2602	3.1202	3.3406	3.1525	3.1853	3.4768	3.1784	3.1814	3.1853	3.066	3.5642	3.3669	3.2267	3.2018	3.024	3.1022	3.0452	3.1312	3.2594	3.3507	3.2168	3.1853	3.2069	3.4935	3.5614	3.0514	3.2225	3.1696	3.5614	3.4985	3.1034	3.1994	3.6872	3.6309	3.2109	3.2313	3.0302	3.2395	3.1424	3.0788	3.1755	3.1645	3.2159	3.0714	3.0963	3.2112	2.958	3.0186	2.998	3.2734	3.1396	3.1516	3.4582	3.4005	2.9945	3.211	3.1766	3.3038	2.93	3.3393	3.2477	2.9151	3.1042	3.4553	3.1413	2.9611	2.8353	3.1382	3.4115	3.1087	3.6562	3.2034	3.261	3.3457	3.2949	3.0586	3.0857	3.3337	3.1206	3.3621	3.243	3.1753	3.064	3.201	3.2876	3.3604	3.292	3.1206	3.2676	3.1146	3.0647	3.1658	3.3736	3.3148	3.202	3.1375
"LOC101927286"	3.4411	3.4794	3.352	3.0556	3.427	3.2437	3.4589	3.2734	3.4281	3.8667	3.4726	3.598	3.7679	3.7238	3.3467	3.4083	3.4206	3.397	3.3571	3.4274	3.4861	3.3723	3.4018	3.3084	3.3808	3.4993	3.3791	3.4593	3.4328	3.3084	3.0487	3.7285	3.4482	3.1935	3.2275	3.5132	3.4334	3.4762	3.3112	3.7391	3.4486	3.3992	3.322	3.4457	3.1367	3.4125	3.5463	3.6378	3.7972	3.2788	3.1619	3.2124	3.2874	3.4665	3.3378	3.1718	3.5948	3.7353	3.6662	3.2351	3.5607	3.2358	3.046	2.8005	3.1541	3.4541	3.4932	3.4759	3.2485	3.3336	3.5223	3.4036	3.506	3.468	3.7252	3.1528	3.4502	3.1238	3.2872	3.5354	3.739	3.2335	3.3988	3.204	3.2474	3.3604	3.5153	3.4525	3.4274	3.4015	3.5184	3.433	3.4409	3.2978	3.1961	3.3369	3.5533	3.6295	3.4973	3.4647	3.3131	3.3664	3.8382
"LOC101927287"	3.5361	3.2375	3.5587	3.2126	3.5988	3.4878	3.4748	3.3916	3.591	3.9828	3.5414	4.0176	4.0123	3.4021	3.4699	3.6846	3.5721	3.6973	3.7296	3.4758	3.4422	3.7826	3.4796	3.782	3.6015	3.7513	4.1705	3.7267	3.4193	3.6891	3.1876	3.6496	3.6876	3.4646	3.5809	3.6365	3.5721	3.5694	3.4017	3.8769	3.8685	3.9359	3.576	3.7244	3.8741	3.4917	3.3172	3.4155	3.7382	3.2522	3.3552	3.5676	3.7586	3.4365	3.547	3.3232	3.5709	3.8131	3.4954	3.6262	3.6216	3.3954	3.6179	3.6017	3.5638	3.7464	3.7924	3.6623	3.6391	3.4306	3.5647	3.9236	3.3811	3.5294	3.5697	3.6253	3.3033	3.9027	3.1908	3.4933	3.3352	3.2072	3.4002	2.963	3.0781	3.7482	3.4784	3.575	3.5336	3.5264	3.3352	3.6206	4.0419	3.6144	3.3047	3.6134	3.4314	3.5	3.708	3.5532	3.3287	3.4073	3.618
"LOC101927292"	2.9664	2.9055	3.0033	2.7641	3.0586	3.0115	2.9394	3.2185	2.9784	3.1911	3.1346	3.1848	3.4096	2.9548	3.0941	3.081	2.6537	3.0349	3.2033	3.2071	2.8395	3.0144	2.9043	3.0112	3.1458	3.1171	2.9769	3.1608	3.221	3.0738	2.812	3.0247	2.9041	2.7027	2.6876	3.0546	3.2489	3.1352	3.2302	2.9906	2.9853	3.1954	2.7602	2.8236	3.4523	2.8843	2.8699	3.0483	2.4936	2.7652	2.8051	3.0168	2.602	2.6773	2.7854	2.8623	2.9224	2.8623	3.1122	3.0786	2.6718	2.887	3.0453	2.7814	3.0095	2.8393	2.739	2.968	3.1031	2.8787	2.9399	3	2.9996	2.8167	3.0264	2.7832	2.8559	3.0784	2.7625	2.9123	2.6278	2.6949	2.6455	2.5633	2.6225	2.6964	2.9256	2.8638	2.6789	2.5848	2.7384	2.772	2.8233	2.7093	2.6955	2.8627	2.7288	2.5991	2.6664	2.5686	2.7029	2.8275	2.9553
"LOC101927305"	3.3032	3.0944	3.1613	3.0893	3.1763	3.0369	3.3859	2.9111	3.2473	3.2414	3.079	3.3696	3.2433	3.2848	3.1192	3.3409	3.537	3.1106	3.2946	3.2882	3.038	3.3443	3.2286	3.0238	3.4933	3.2319	3.0218	3.1808	3.1793	3.0419	3.2969	4.5564	3.9377	3.6786	3.705	3.3519	3.0487	3.325	3.1939	3.1047	3.19	3.3674	2.9351	3.0909	3.2433	2.9667	3.2232	2.9161	3.8886	3.1138	2.9156	2.9074	3.2764	3.2152	3.1581	3.4658	3.0271	3.1568	3.5399	3.3745	3.41	3.6056	3.2463	3.1323	3.1351	3.22	3.208	3.1702	3.4878	3.0597	3.0283	3.327	2.9523	3.1119	2.8785	3.0022	2.895	3.0656	3.173	3.1163	2.9694	3.0035	3.0704	2.9113	3.1698	3.1733	3.1542	3.0995	3.1946	3.2917	3.1992	3.3116	3.2114	3.2569	3.1961	3.0877	2.988	3.8331	3.8603	3.6871	3.1779	3.2336	3.1091
"LOC101927310"	2.8143	2.7763	2.794	2.6972	2.5917	2.6972	2.7196	2.7547	2.7262	2.6695	2.6858	2.7862	2.9164	2.8721	2.5981	2.7056	2.736	2.8832	2.6428	2.6912	2.7763	2.7064	2.5281	3.1304	3.3788	2.744	2.871	2.7435	2.7112	2.7091	2.7654	3.0443	2.9049	2.8243	3.0657	2.8234	2.6696	2.8568	2.8422	2.837	3.0331	2.924	2.822	2.838	2.864	2.7418	2.8681	2.9459	3.261	2.8513	2.807	2.8425	2.9549	2.7426	2.7761	2.9411	2.7685	2.8307	3.046	3.0104	2.9661	2.6638	3.1418	2.8739	2.8904	3.02	3.1593	3.2632	3.1373	2.8617	2.9737	2.8404	2.8756	2.9661	2.7808	2.8599	2.9129	3.0226	3.1329	2.6071	2.5899	2.6695	2.4324	2.4768	2.6254	2.3899	2.8368	2.4637	2.3747	2.28	2.3974	2.4281	2.4314	2.6191	2.359	2.5633	2.6496	2.6354	2.5198	2.6398	2.4129	2.3624	2.4939
"LOC101927313"	4.2422	4.129	4.1742	4.2085	4.0239	3.9506	3.812	4.461	4.4954	4.4754	4.0269	4.6193	4.8387	4.2536	4.3632	4.4982	4.3736	4.3291	4.1002	4.3768	4.2571	4.6236	4.311	4.5789	4.5248	4.4299	4.4739	4.3159	4.2035	4.255	4.2902	4.2902	4.1705	4.116	4.2089	4.6048	4.1179	4.1963	4.3621	4.115	4.4461	4.5477	4.5467	4.4451	4.8947	4.1574	4.4923	4.077	4.5533	4.3824	4.4914	4.2149	4.4358	4.175	4.3119	4.4783	4.4234	4.4613	4.185	4.6172	4.417	4.3376	4.6332	4.1709	4.1039	4.4358	4.5714	5.1374	5.0083	4.366	4.4401	4.5996	4.2423	4.8424	4.2298	4.0655	4.1141	4.1707	4.0905	3.962	3.735	3.8995	3.6346	3.7773	3.6965	4.248	4.1176	4.4877	3.7232	4.4638	3.9688	3.8032	4.116	4.2984	4.3099	4.1747	3.9479	3.7389	3.9479	3.9762	3.8628	3.6265	3.9133
"LOC101927314"	2.6896	2.6524	2.8824	2.6832	2.6976	2.5761	3.039	2.7202	2.7056	2.9273	2.8946	3.0312	3.0238	2.7189	2.8995	2.8236	2.7191	2.9271	2.9797	2.8994	3.1386	2.9486	2.862	2.874	3.0398	2.9793	3.1225	2.8882	2.8528	2.8311	2.9756	2.8893	2.6852	2.669	2.8971	2.9891	3.0469	3.1603	2.8064	2.6796	2.6086	2.7829	2.8028	2.9233	3.1226	2.6042	2.7412	2.5403	2.6516	2.625	2.5159	2.9254	2.9395	2.5902	2.5307	2.7217	2.788	2.9921	2.8239	3.2554	2.9371	2.5859	3.1354	2.8547	2.8142	3.2285	2.867	2.7499	2.8839	2.5178	2.8065	3.1275	2.686	3.1043	2.5928	2.724	2.8831	3.2345	2.7378	2.8209	2.6977	2.4113	2.5874	2.6512	2.5563	2.6871	2.8091	2.7485	2.5288	2.7392	2.6892	2.4471	2.9258	2.7396	2.8131	2.6662	2.526	2.7005	2.8812	2.8102	2.6274	2.6913	2.797
"LOC101927331"	3.6456	3.4093	3.3212	3.1828	3.4546	3.3778	3.2941	3.3384	3.255	3.7901	3.4395	3.6488	3.5837	3.3113	3.0748	3.5923	3.4143	3.65	4.02	3.3924	3.2474	3.4242	3.3062	3.3752	3.8028	3.368	3.6217	3.4242	3.4185	3.3357	3.4612	3.6557	3.873	3.5101	3.3073	3.1597	3.3874	3.649	3.1511	3.0204	3.4655	3.184	3.2008	3.176	3.4374	3.0443	3.2758	3.0912	3.5928	3.2895	3.1746	3.3411	3.5866	3.0914	3.2107	3.2498	3.2031	3.5149	3.104	3.3281	3.2307	2.9965	3.3488	3.098	3.1541	3.1676	3.1853	3.5261	3.5468	2.9561	3.1682	3.4593	3.2877	3.1318	3.4548	3.0657	3.2402	3.3732	3.2025	3.2005	3.3419	3.0969	2.8931	2.8047	3.1537	3.5019	3.2893	3.2204	2.9885	3.3024	3.1815	2.9777	3.219	3.1577	3.1348	3.223	3.0878	3.3132	3.5697	3.2628	3.0544	2.9688	3.1795
"LOC101927342"	3.2503	3.4716	3.2668	2.8889	3.1443	3.3932	3.0208	2.9851	3.2496	3.8217	3.4123	3.4768	3.4974	3.044	3.214	3.393	3.3032	3.4064	3.5388	3.3444	3.3551	3.2529	3.2196	3.2483	3.3682	3.387	3.5694	3.1021	3.3561	3.3185	3.3185	3.7477	3.3185	3.1806	3.3668	3.4134	3.1996	3.2583	3.3375	3.355	3.6993	3.0211	3.0987	3.7385	3.5303	3.253	3.0655	3.1308	3.8273	3.1788	3.3886	3.2203	3.5417	3.1265	3.3079	2.9289	3.3311	3.2248	3.2234	3.5368	3.5504	3.017	3.289	2.9525	3.2982	3.0818	3.8734	3.6848	3.5692	2.9022	3.4451	3.2305	3.1113	3.2877	3.1363	2.8126	3.0376	4.06	3.0469	3.0054	2.9244	2.8744	2.8208	2.8768	3.08	3.3304	3.1357	2.9766	2.9134	3.2191	3.1683	3.0141	3.3333	3.3677	3.0387	3.0469	3.0938	3.2203	3.7088	3.1587	3.2492	3.0562	3.2591
"LOC101927346"	4.0564	3.8123	4.1301	3.8325	4.0749	3.8317	3.9168	3.9181	4.053	4.6247	3.9046	4.2267	4.0919	3.542	3.7853	4.1691	4.0104	4.3728	4.2048	4.0215	3.8546	4.0045	3.9686	3.8377	4.2619	4.0311	4.1772	4.0032	4.0516	3.9475	3.8232	4.1403	3.8763	3.9634	4.1116	4.4098	3.6291	3.9067	3.8783	4.3109	4.3681	4.3337	4.335	4.3752	4.537	4.4097	4.7707	4.368	4.5643	4.3374	4.5551	4.0407	4.1807	4.0679	4.2742	4.2004	4.3681	4.5275	4.4689	4.1204	4.4169	4.6127	4.4469	4.0152	4.48	4.943	4.6001	4.3665	3.8842	4.4493	4.5427	4.5649	4.2788	4.3445	4.1191	4.3342	4.0785	4.9371	4.2829	3.2788	3.3462	3.2645	3.2482	3.2897	3.2758	3.2816	3.4699	3.5514	3.3963	3.6306	3.3148	3.6233	3.5273	3.6062	3.7754	3.1916	3.4579	3.2017	3.6448	3.7456	3.7395	3.1836	3.1783
"LOC101927348"	2.9282	3.259	3.3235	3.0955	3.0952	3.1092	3.0791	3.0442	3.0695	3.7607	3.3114	3.6161	3.6321	3.3437	2.9713	3.5	3.0822	3.3032	3.0452	2.9966	3.2779	3.2844	3.0827	3.0548	4.2493	3.5344	3.2182	3.4851	3.149	3.1645	3.1819	3.476	3.4246	3.5283	3.5378	3.3975	3.2844	3.3671	3.2168	3.0245	3.2252	3.2444	3.0718	3.1208	3.4308	3.2995	3.2432	3.082	3.368	3.2522	3.1765	3.2038	3.4477	3.0973	3.1477	3.0954	2.9875	3.4123	3.5594	3.3525	3.2532	3.0754	3.6661	3.3755	3.2982	3.2235	3.2877	3.7082	3.3451	3.0669	3.1665	3.3928	2.9454	3.0476	3.5149	3.1906	3.2223	3.3523	3.2252	2.9778	3.0659	2.9919	2.9183	2.7595	3.0475	3.0383	2.9316	3.1176	3.0295	3.2965	3.1564	2.7192	2.9619	2.9533	3.4145	3.0624	3.0628	3.3254	3.087	3.0391	3.0634	3.0451	3.0836
"LOC101927358"	3.2089	3.0079	3.0033	2.9255	3.1731	3.2009	3.3119	3.2564	3.0165	3.3773	3.1081	3.0506	3.2897	3.3242	3.3521	3.2189	3.2259	3.2126	3.3698	3.073	3.3773	3.0332	3.1512	3.5223	3.6372	3.1332	3.2259	3.1637	3.4078	3.2208	2.9899	3.4842	3.2615	3.3963	3.8953	3.3521	3.3114	2.9986	3.5233	3.311	2.9727	3.5642	2.9174	3.1684	2.7149	3.0499	3.1781	3.2964	3.3453	2.904	2.9491	2.8691	3.12	3.1264	3.2759	2.9353	3.0727	3.2526	3.1844	3.5243	3.6028	3.2936	3.1348	3.0226	3.0417	3.1703	3.0151	3.4426	3.5349	3.0977	3.1162	3.0706	3.395	3.1546	3.154	3.1138	3.0893	3.2675	3.2048	3.0006	3.144	2.9933	2.9305	2.8473	2.8907	3.4175	3.0788	2.9141	2.8734	3.3229	3.1217	3.0442	3.0688	3.0535	3.1656	2.7619	2.8041	3.0152	3.269	3.0237	3.063	3.266	3.1738
"LOC101927359"	2.6559	2.5508	2.6598	2.6228	2.6514	2.6303	2.7105	2.8712	2.6148	2.7628	2.7186	2.6666	2.7442	2.6255	2.5845	2.6319	2.6768	2.6136	2.5478	2.5634	2.6951	2.7461	2.7054	2.4721	2.9046	2.789	2.9426	2.7797	2.7186	2.7095	2.8393	2.9308	2.7956	2.6245	2.9484	2.8745	2.9437	2.8777	2.6756	2.8049	2.7855	2.7296	2.7046	2.5519	2.6156	2.7542	2.7654	2.5389	3.1518	2.7372	2.726	2.8722	2.5457	2.6923	2.7614	2.6966	2.6926	2.7099	2.7942	2.656	3.0486	2.7125	2.6601	2.6703	2.7046	2.8875	2.7982	3.1421	2.7095	2.6527	2.5173	2.8118	2.7559	2.8256	2.766	2.6779	2.798	2.6739	2.5198	2.6676	2.7332	2.3961	2.5903	2.2816	2.5352	2.5385	2.6791	2.4485	2.4959	2.5988	2.3333	2.6177	2.8717	2.6627	2.5546	2.5947	2.4226	2.6604	2.7057	2.5903	2.9115	2.6084	2.7487
"LOC101927362"	6.3462	6.8103	6.3301	6.4813	6.58	6.5774	6.0134	6.606	6.824	7.6112	6.7418	7.3675	7.3476	6.7225	6.8015	6.865	6.7397	6.9859	7.0079	6.7928	6.7454	6.8665	6.6479	6.8653	7.1462	7.3357	7.4453	6.6331	6.556	7.0272	6.8513	6.939	7.1984	6.8056	6.9864	7.2729	6.8045	6.8541	6.7913	6.5197	7.3975	7.2249	6.7028	6.8589	7.4027	6.2981	6.7811	6.6367	7.4257	6.2671	6.5674	6.8103	6.9746	6.7078	6.9097	6.5464	7.0925	7.3364	6.8374	7.345	6.9849	6.679	7.1603	6.6629	6.9808	7.431	7.2509	7.6792	7.7128	6.4857	7.1024	7.6271	6.773	7.1314	6.7607	6.4841	6.9097	7.1404	6.9841	6.5058	6.5985	6.7583	6.2658	6.4866	6.4327	6.8288	7.2389	7.3131	6.8013	7.0809	6.7288	6.5934	7.4332	6.7097	6.823	7.053	6.8286	6.577	7.3578	6.9998	6.7146	6.436	6.819
"LOC101927363"	2.9209	2.8638	2.7357	2.9804	2.9553	3.0168	2.967	2.8298	3.0179	3.0503	3.2741	2.9524	3.1393	2.7234	2.7867	3.1686	2.9163	2.923	3.4875	2.7025	2.9783	3.2832	2.9068	3.0463	3.3494	2.9662	2.9601	2.9553	2.9438	2.9036	2.7654	3.0157	2.9757	2.8696	3.0881	3.011	2.9327	2.7838	2.9192	3.1069	3.302	3.0586	3.2244	3.0423	3.1797	3.012	2.8837	2.972	3.0946	3.0586	3.0772	3.2422	2.7553	2.7216	3.308	2.8342	3.1145	3.1092	2.9533	3.2495	3.595	2.7172	3.0653	2.9486	2.8648	3.1014	2.8862	3.327	3.1889	2.9961	3.1621	2.9116	3.1234	2.9619	3.0971	2.902	2.984	3.0403	3.0415	2.6549	2.7919	2.6332	2.5523	2.5884	2.5144	2.5967	2.9545	2.7789	2.7217	3.0659	2.7258	2.6702	3.0584	2.6276	2.919	2.7373	2.7413	3.1571	2.7294	2.7048	2.5845	2.8164	2.4261
"LOC101927365"	5.4336	5.4845	5.41	6.4824	5.543	5.6491	6.804	5.5434	5.9071	5.0238	5.3635	4.7098	4.1377	6.0772	5.554	6.3976	6.5941	6.0301	5.0553	5.4801	5.1017	4.8852	5.4465	5.4539	4.6689	5.2329	5.5242	4.9719	5.4336	4.4389	5.2955	5.2507	5.3621	6.5791	5.5014	4.947	5.106	4.0297	5.5729	4.9201	4.7917	5.2361	4.2518	4.603	4.5913	5.2956	5.6433	4.435	4.5967	5.9825	5.4602	5.0307	4.4525	5.3616	5.2366	4.7266	5.9051	4.6007	5.3993	3.9302	4.6064	6.6787	5.7922	6.1602	4.9449	5.0835	4.2252	3.8804	4.0026	5.948	4.7295	4.4525	4.4622	4.9191	4.6745	5.0863	5.3678	5.764	5.8091	3.7481	4.1262	5.9096	5.4542	4.9858	5.5907	4.8774	4.5041	3.9799	5.5043	5.7478	4.998	5.1336	3.8697	4.3672	5.2026	5.2047	4.862	4.4042	4.3954	4.768	4.1031	4.4756	4.6638
"LOC101927377"	3.5241	3.8942	3.9493	3.468	3.8899	3.8076	3.5531	3.8258	3.9568	3.9078	4.0603	3.7984	3.9917	3.6298	3.7538	3.7293	3.7885	3.8164	4.0029	3.8627	3.8925	3.8968	3.7919	4.4568	3.7195	3.7635	3.9613	3.8973	3.6797	3.596	4.1064	3.6135	3.6823	3.4617	3.731	3.8796	3.8491	4.3139	3.8688	4.031	4.2797	4.0279	3.8162	4.5742	3.9699	4.1004	3.9706	4.1232	4.1891	4.0162	4.4571	4.0356	4.0218	4.07	3.729	3.8198	4.2015	3.9959	4.2895	4.2084	4.0003	4.1391	3.9552	3.8251	3.8989	3.9114	4.2031	3.9895	4.0131	4.4847	4.09	3.7895	3.878	3.9631	4.0913	4.7413	4.0056	3.9794	3.7722	3.9433	4.1173	3.665	3.6308	3.6054	3.6362	3.5884	3.6159	3.8375	3.6982	3.7688	3.6058	3.7715	3.7715	3.7557	3.8594	3.8745	3.7611	3.6571	4.2308	3.9178	4.8461	3.8838	3.818
"LOC101927379"	4.8219	4.8025	4.4377	4.6523	4.7028	4.4911	4.6523	4.5318	4.8371	4.9331	4.6523	4.8204	4.8683	4.6961	4.7668	4.5913	4.3753	4.6523	4.7337	4.4341	4.6961	4.3758	4.5613	4.45	4.9321	4.8367	4.8933	4.7855	4.6961	4.8327	4.789	4.8792	4.7503	4.6837	5.286	4.7957	4.6807	4.914	4.6961	5.1715	4.9328	5.2037	4.7874	4.9009	4.9337	4.7586	4.7483	4.8183	5.3249	4.4623	4.4401	4.6352	4.891	4.5788	4.7296	5.0852	5.0594	4.9517	4.9427	4.9903	5.137	4.6826	4.981	4.7419	4.68	4.8629	4.7796	5.3588	5.1169	4.6751	4.9998	5.1781	4.7804	4.8505	4.6112	4.7089	4.7503	4.8274	4.7875	4.1305	4.719	4.1477	4.3906	4.1464	4.5071	4.4456	4.7334	4.3091	4.6634	4.7351	4.6923	4.4721	4.5822	4.5897	4.6251	4.4293	4.6687	4.6865	4.4157	4.7417	4.5522	4.3776	4.5078
"LOC101927380"	3.7817	3.6149	3.9434	3.6074	3.7953	3.5368	3.6236	3.7224	3.5449	3.9818	3.6822	3.8019	3.8442	3.7838	3.4393	3.7648	3.6374	3.5378	3.9213	3.5912	3.6577	3.4735	3.6333	3.6087	4.2628	3.5429	3.9168	3.6874	3.8572	3.8318	3.6027	3.6953	3.8055	3.6605	4.1273	3.593	3.6763	3.6953	3.586	3.499	3.6664	3.557	3.594	3.3207	3.4779	3.5081	3.5892	3.5532	4.1856	3.5637	3.6432	3.6222	3.8742	3.2162	3.5292	3.5515	3.3142	3.5622	3.4948	3.4728	3.1116	3.7183	3.848	3.5907	3.4943	3.571	3.73	3.7529	3.5401	3.3501	3.7927	3.5336	3.7365	3.7655	3.5832	3.4115	3.5176	3.7652	3.5527	3.438	3.1185	3.5104	3.1669	3.2047	3.4708	3.0638	3.3811	3.1811	3.311	2.9817	3.2743	3.0762	3.3171	3.3397	3.221	3.2799	3.2122	3.4475	3.3194	3.3057	3.2596	3.433	3.3337
"LOC101927382///PAX8-AS1"	4.4245	4.7714	4.1955	3.9412	4.4844	4.305	5.2351	4.2728	4.451	4.96	5.2306	4.8117	5.071	4.6401	4.0755	4.1457	5.0581	4.4054	4.875	4.8757	4.1031	4.7576	5.2455	5.1029	4.4876	4.777	4.9291	4.5579	4.7783	4.079	4.2201	4.2314	4.6517	4.2447	4.2638	4.8918	4.4772	4.5579	4.5579	4.243	4.7074	4.5652	4.2385	4.2095	4.6829	4.36	5.4106	4.8658	4.1153	4.7608	4.6018	4.2811	4.4261	4.7255	4.0764	5.1249	4.3051	4.7305	4.7082	4.4442	4.4479	4.092	4.2498	4.1946	4.3507	4.7105	4.7097	4.3573	4.995	4.2692	4.3186	5.1487	4.1388	4.351	4.5561	4.7084	4.1352	5.6366	4.1149	4.0567	4.1961	4.245	4.3475	4.7947	4.6239	4.4444	4.6545	4.9959	4.3935	4.4826	4.2492	4.9771	4.665	4.5002	3.8844	4.6601	4.0908	4.2017	3.868	4.366	4.6396	4.2845	4.1535
"LOC101927391"	2.8954	2.847	2.7096	2.9804	2.6235	2.8753	2.9998	2.8941	2.6895	3.1149	2.6143	2.692	2.6998	3.0555	3.2277	3.038	3.3062	3.3003	2.9442	2.8941	2.7654	3.0815	3.6457	2.8234	2.974	2.8447	2.9214	2.7726	2.9947	2.8694	2.7116	3.0739	2.8484	3.0144	2.9629	2.9664	2.8334	2.8941	3.0704	2.8696	2.8805	2.6253	2.7798	3.1579	2.7101	2.9103	3.1107	2.771	3.0012	3.0782	3.0194	3.1224	3.16	2.832	2.9659	2.6153	3.2872	3.089	2.8787	2.8191	2.61	2.9117	2.904	2.7354	2.8758	2.3332	2.9407	2.6997	2.4352	2.8796	3.2548	2.9883	2.8219	2.7393	3.1636	3.2001	2.9523	3.4796	2.9158	2.5381	2.9333	2.9969	2.6401	2.9096	3.0704	2.874	2.7172	2.8262	2.7917	2.3584	2.7363	2.9695	2.7372	2.5745	2.5623	2.4027	2.6123	2.8288	2.5709	2.6902	2.7738	2.8119	2.8874
